pmid,title,journal,date,num_authors
30684591,CRISPR-Cas9 for cancer therapy: Opportunities and challenges.,Cancer letters,2019-Apr-10,6
25315507,Genome modification by CRISPR/Cas9.,The FEBS journal,2014-Dec-1,3
32200959,CRISPR-Cas12a: Functional overview and applications.,Biomedical journal,2020-Feb-1,2
32052006,"CRISPR/Cas9 for cancer treatment: technology, clinical applications and challenges.",Briefings in functional genomics,2020-May-20,4
29801422,Delivering CRISPR: a review of the challenges and approaches.,Drug delivery,2018-Nov-1,4
25981466,Annotation and Classification of CRISPR-Cas Systems.,"Methods in molecular biology (Clifton, N.J.)",2015-1-1,2
26470680,Advances in therapeutic CRISPR/Cas9 genome editing.,Translational research : the journal of laboratory and clinical medicine,2016-Feb-1,2
27250031,CRISPR/Cas9 therapeutics: a cure for cancer and other genetic diseases.,Oncotarget,2016-Aug-09,9
33157047,CRISPR-Cas Tools and Their Application in Genetic Engineering of Human Stem Cells and Organoids.,Cell stem cell,2020-Nov-05,3
32758911,"Point-of-care CRISPR/Cas nucleic acid detection: Recent advances, challenges and opportunities.",Biosensors & bioelectronics,2020-Oct-15,6
39525595,Genome-wide pan-GPCR cell libraries accelerate drug discovery.,Acta pharmaceutica Sinica. B,2024-Oct-1,13
39415281,"Epigenetic frontiers: miRNAs, long non-coding RNAs and nanomaterials are pioneering to cancer therapy.",Epigenetics & chromatin,2024-Oct-16,9
39239752,Tumor‑associated macrophages activated in the tumor environment of hepatocellular carcinoma: Characterization and treatment (Review).,International journal of oncology,2024-Oct-1,10
39113807,Endosome-microautophagy targeting chimera (eMIATAC) for targeted proteins degradation and enhance CAR-T cell anti-tumor therapy.,Theranostics,2024-1-1,17
39107318,Cell-cell communication: new insights and clinical implications.,Signal transduction and targeted therapy,2024-Aug-07,7
39100879,CRISPR/Cas9-mediated genome editing technique to control fall armyworm (,Physiology and molecular biology of plants : an international journal of functional plant biology,2024-Jul-1,4
39006883,A review on molecular scissoring with CRISPR/Cas9 genome editing technology.,Toxicology research,2024-Aug-1,4
38910165,Targeted protein degradation combined with PET imaging reveals the role of host PD-L1 in determining anti-PD-1 therapy efficacy.,European journal of nuclear medicine and molecular imaging,2024-Oct-1,12
38891890,Unlocking Glioblastoma Vulnerabilities with CRISPR-Based Genetic Screening.,International journal of molecular sciences,2024-May-23,3
38877530,CRISPR/Cas9 gene editing: a novel strategy for fighting drug resistance in respiratory disorders.,Cell communication and signaling : CCS,2024-Jun-14,7
38844984,Effects of super-enhancers in cancer metastasis: mechanisms and therapeutic targets.,Molecular cancer,2024-Jun-07,10
38796705,In vivo adenine base editing rescues adrenoleukodystrophy in a humanized mouse model.,Molecular therapy : the journal of the American Society of Gene Therapy,2024-Jul-03,13
38767879,The interplay between the tumor microenvironment and tumor-derived small extracellular vesicles in cancer development and therapeutic response.,Cancer biology & therapy,2024-Dec-31,5
38694229,Biomaterial-Based CRISPR/Cas9 Delivery Systems for Tumor Treatment.,Biomaterials research,2024-1-1,9
38373627,High incidence of sebaceous gland inflammation in aldose reductase-deficient mice.,Chemico-biological interactions,2024-Apr-01,6
38310456,CRISPR-Based Therapies: Revolutionizing Drug Development and Precision Medicine.,Current gene therapy,2024-1-1,5
38296939,Bacterial protoplast-derived nanovesicles carrying CRISPR-Cas9 tools re-educate tumor-associated macrophages for enhanced cancer immunotherapy.,Nature communications,2024-Jan-31,12
38258073,Natural Biopolymer-Based Delivery of CRISPR/Cas9 for Cancer Treatment.,Pharmaceutics,2023-Dec-30,2
38250324,"Immune cells and RBCs derived from human induced pluripotent stem cells: method, progress, prospective challenges.",Frontiers in cell and developmental biology,2023-1-1,5
38239344,High-throughput CRISPR technology: a novel horizon for solid organ transplantation.,Frontiers in immunology,2023-1-1,16
38204480,Essential genes analysis reveals small ribosomal subunit protein eS28 may be a prognostic factor and potential vulnerability in osteosarcoma.,Journal of bone oncology,2024-Feb-1,10
38062999,Radiogenomic landscape: Assessment of specific phagocytosis regulators in lower-grade gliomas.,"Experimental biology and medicine (Maywood, N.J.)",2023-Dec-1,9
38041049,"Global research trends in CRISPR-related technologies associated with extracellular vesicles from 2015 to 2022: a bibliometric, dynamic, and visualized study.",Cellular & molecular biology letters,2023-Dec-02,7
38038165,Function of microRNA‑124 in the pathogenesis of cancer (Review).,International journal of oncology,2024-Jan-1,12
38012525,Exosomes for CRISPR-Cas9 Delivery: The Cutting Edge in Genome Editing.,Molecular biotechnology,2024-Nov-1,4
37906032,Advances in CAR-Engineered Immune Cell Generation: Engineering Approaches and Sourcing Strategies.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2023-Dec-1,3
37759234,"Integrative bioinformatics analysis of WDHD1: a potential biomarker for pan-cancer prognosis, diagnosis, and immunotherapy.",World journal of surgical oncology,2023-Sep-27,10
37715003,Paraptosis: a non-classical paradigm of cell death for cancer therapy.,Acta pharmacologica Sinica,2024-Feb-1,7
37693076,CRISPR-Cas9 gene editing and human diseases.,Bioinformation,2022-1-1,9
37656734,Using the metabolite alterations monitoring the AEG-1 expression level and cell biological behaviour of U251 cell in vitro.,PloS one,2023-1-1,3
37569693,CRISPR/Cas9: A Powerful Strategy to Improve CAR-T Cell Persistence.,International journal of molecular sciences,2023-Aug-01,3
37526673,Non-coding RNAs in leukemia drug resistance: new perspectives on molecular mechanisms and signaling pathways.,Annals of hematology,2024-May-1,10
37497349,Metabolism and senescence in the immune microenvironment of osteosarcoma: focus on new therapeutic strategies.,Frontiers in endocrinology,2023-1-1,4
37469704,CRISPR/Cas9 as a therapeutic tool for triple negative breast cancer: from bench to clinics.,Frontiers in molecular biosciences,2023-1-1,10
37464180,Sphk1 deficiency induces apoptosis and developmental defects and premature death in zebrafish.,Fish physiology and biochemistry,2023-Aug-1,7
37448985,Sustained release of therapeutic gene by injectable hydrogel for hepatocellular carcinoma.,International journal of pharmaceutics: X,2023-Dec-15,4
37381714,Nuclear PLD1 combined with NPM1 induces gemcitabine resistance through tumorigenic IL7R in pancreatic adenocarcinoma.,Cancer biology & medicine,2023-Jun-27,20
37370737,Reduction of Tumor Growth with RNA-Targeting Treatment of the NAB2-STAT6 Fusion Transcript in Solitary Fibrous Tumor Models.,Cancers,2023-Jun-09,11
37351470,Biomembrane-wrapped gene delivery nanoparticles for cancer therapy.,Frontiers in bioengineering and biotechnology,2023-1-1,5
37210555,The applications of CRISPR/Cas-mediated genome editing in genetic hearing loss.,Cell & bioscience,2023-May-20,5
37200626,Knowledge mapping and current trends of global research on CRISPR in the field of cancer.,Frontiers in cell and developmental biology,2023-1-1,6
37111450,Human Papilloma Virus: An Unraveled Enigma of Universal Burden of Malignancies.,"Pathogens (Basel, Switzerland)",2023-Apr-06,4
37029174,Rapid detection of isocitrate dehydrogenase 1 mutation status in glioma based on Crispr-Cas12a.,Scientific reports,2023-Apr-07,9
36980699,The Potential Revolution of Cancer Treatment with CRISPR Technology.,Cancers,2023-Mar-17,13
36925702,Optimization of CRISPR-Cas system for clinical cancer therapy.,Bioengineering & translational medicine,2023-Mar-1,8
