citing_pmid,cited_pmid
39525595,30684591
39415281,30684591
39239752,30684591
39113807,30684591
39107318,30684591
39100879,30684591
39006883,30684591
38910165,30684591
38891890,30684591
38877530,30684591
38844984,30684591
38796705,30684591
38767879,30684591
38694229,30684591
38373627,30684591
38310456,30684591
38296939,30684591
38258073,30684591
38250324,30684591
38239344,30684591
38204480,30684591
38062999,30684591
38041049,30684591
38038165,30684591
38012525,30684591
37906032,30684591
37759234,30684591
37715003,30684591
37693076,30684591
37656734,30684591
37569693,30684591
37526673,30684591
37497349,30684591
37469704,30684591
37464180,30684591
37448985,30684591
37381714,30684591
37370737,30684591
37351470,30684591
37210555,30684591
37200626,30684591
37111450,30684591
37029174,30684591
36980699,30684591
36925702,30684591
36826113,30684591
36672345,30684591
36548694,30684591
36454462,30684591
36428562,30684591
36419115,30684591
36365126,30684591
36347937,30684591
36316529,30684591
36263098,30684591
36181622,30684591
36135925,30684591
36117219,30684591
36092658,30684591
35960410,30684591
35957886,30684591
35873469,30684591
35586564,30684591
35508982,30684591
35453588,30684591
35331236,30684591
35277177,30684591
35185576,30684591
35092559,30684591
35053139,30684591
35008996,30684591
34833427,30684591
34819726,30684591
34781949,30684591
34713317,30684591
34658640,30684591
34590151,30684591
34497528,30684591
34453645,30684591
33919194,30684591
33614489,30684591
33419984,30684591
33339441,30684591
33089409,30684591
33005303,30684591
32825283,30684591
32611259,30684591
32526919,30684591
32117392,30684591
32053763,30684591
31963842,30684591
31658261,30684591
30903574,30684591
39557706,25315507
39495440,25315507
39420406,25315507
39407109,25315507
39403370,25315507
39365861,25315507
39336807,25315507
39328406,25315507
39263032,25315507
39163294,25315507
39118728,25315507
39104588,25315507
39076655,25315507
39055914,25315507
39039706,25315507
38950083,25315507
38498133,25315507
38440123,25315507
38390557,25315507
38352563,25315507
38312645,25315507
38279106,25315507
38261961,25315507
38259503,25315507
38075036,25315507
38072662,25315507
37903929,25315507
37868976,25315507
37686249,25315507
37637117,25315507
37508466,25315507
37464180,25315507
37370394,25315507
37288976,25315507
37223415,25315507
37048110,25315507
36727449,25315507
36613762,25315507
36454462,25315507
36454457,25315507
36320315,25315507
36164603,25315507
35873469,25315507
35553404,25315507
35453761,25315507
34884879,25315507
34781949,25315507
34769055,25315507
34745851,25315507
34631795,25315507
34494921,25315507
34378174,25315507
34162685,25315507
34091053,25315507
34066014,25315507
33973075,25315507
33867826,25315507
33800736,25315507
33648977,25315507
33557381,25315507
33318646,25315507
33270859,25315507
33062407,25315507
32826220,25315507
32821546,25315507
32733872,25315507
32585821,25315507
32425949,25315507
32388608,25315507
31420817,25315507
31183570,25315507
31124015,25315507
31054324,25315507
31016280,25315507
30197654,25315507
29893931,25315507
29801422,25315507
29793503,25315507
29463318,25315507
29259526,25315507
28825696,25315507
28657358,25315507
28344971,25315507
28038787,25315507
27917188,25315507
27223305,25315507
27162364,25315507
26730810,25315507
26644995,25315507
26537785,25315507
26514729,25315507
26500616,25315507
26467477,25315507
39554814,32200959
39525369,32200959
39495809,32200959
39455854,32200959
39403159,32200959
39397905,32200959
39360804,32200959
39346871,32200959
39258178,32200959
39212838,32200959
39210187,32200959
39208796,32200959
39194596,32200959
39189452,32200959
39138524,32200959
39055914,32200959
39019776,32200959
38912057,32200959
38877537,32200959
38701041,32200959
38646010,32200959
38570576,32200959
38558972,32200959
38527001,32200959
38473859,32200959
38459454,32200959
38455618,32200959
38454604,32200959
38380103,32200959
38333695,32200959
38328240,32200959
38234413,32200959
38149272,32200959
38076861,32200959
37998138,32200959
37885449,32200959
37873636,32200959
37860145,32200959
37833763,32200959
37823027,32200959
37722240,32200959
37711546,32200959
37711287,32200959
37698765,32200959
37674114,32200959
37622910,32200959
37483347,32200959
37460924,32200959
37050104,32200959
37022538,32200959
36982733,32200959
36970703,32200959
36902028,32200959
36831968,32200959
36745596,32200959
36682874,32200959
36675077,32200959
36669950,32200959
36646687,32200959
36636380,32200959
36556333,32200959
36321657,32200959
36139087,32200959
36060308,32200959
35958049,32200959
35908288,32200959
35706506,32200959
35633938,32200959
35337340,32200959
35308857,32200959
35205367,32200959
35194511,32200959
35053100,32200959
35024561,32200959
34951457,32200959
34948095,32200959
34935462,32200959
34853172,32200959
34833137,32200959
34759957,32200959
34741732,32200959
34673274,32200959
34643870,32200959
34638696,32200959
34456559,32200959
34421973,32200959
34336867,32200959
34299081,32200959
34280234,32200959
34115079,32200959
33801123,32200959
33754804,32200959
33585286,32200959
33420494,32200959
33262863,32200959
33172304,32200959
33148705,32200959
32883277,32200959
32580834,32200959
32200951,32200959
39350207,32052006
39006883,32052006
38380103,32052006
38186450,32052006
36980699,32052006
36826113,32052006
36278172,32052006
36239875,32052006
35008996,32052006
33339441,32052006
39533430,29801422
39524822,29801422
39493896,29801422
39483469,29801422
39427211,29801422
39415058,29801422
39404843,29801422
39403159,29801422
39315713,29801422
39284917,29801422
39281673,29801422
39199292,29801422
39156766,29801422
39149034,29801422
39118151,29801422
39086673,29801422
39081515,29801422
39012600,29801422
39006883,29801422
38977787,29801422
38951705,29801422
38938376,29801422
38932365,29801422
38891890,29801422
38877530,29801422
38859956,29801422
38844700,29801422
38773978,29801422
38746439,29801422
38702575,29801422
38652321,29801422
38652190,29801422
38647391,29801422
38628493,29801422
38623982,29801422
38622684,29801422
38576617,29801422
38547339,29801422
38545126,29801422
38544667,29801422
38543240,29801422
38486996,29801422
38483963,29801422
38472686,29801422
38468088,29801422
38463115,29801422
38459355,29801422
38427670,29801422
38363528,29801422
38361756,29801422
38347947,29801422
38300270,29801422
38272457,29801422
38258771,29801422
38256875,29801422
38253889,29801422
38249355,29801422
38200865,29801422
38195537,29801422
38188023,29801422
38180445,29801422
38178986,29801422
38161502,29801422
38145986,29801422
38137554,29801422
38136984,29801422
38104240,29801422
38031452,29801422
38003514,29801422
37977144,29801422
37966606,29801422
37964355,29801422
37894063,29801422
37853101,29801422
37841202,29801422
37813236,29801422
37738140,29801422
37723364,29801422
37697445,29801422
37686639,29801422
37686139,29801422
37679807,29801422
37607734,29801422
37593202,29801422
37588217,29801422
37580710,29801422
37545763,29801422
37521595,29801422
37469704,29801422
37460924,29801422
37438488,29801422
37435135,29801422
37415116,29801422
37415091,29801422
37400536,29801422
37393268,29801422
37356052,29801422
37305370,29801422
37299685,29801422
37269466,29801422
39496976,25981466
39403159,25981466
39158766,25981466
39103341,25981466
39056004,25981466
38921737,25981466
38841053,25981466
38831286,25981466
38805143,25981466
38795068,25981466
38786760,25981466
38511958,25981466
38473859,25981466
38450259,25981466
38377059,25981466
38256875,25981466
38242128,25981466
38212746,25981466
38090672,25981466
38053290,25981466
38033324,25981466
38029146,25981466
38027359,25981466
37971255,25981466
37940844,25981466
37895260,25981466
37764119,25981466
37722240,25981466
37691844,25981466
37686249,25981466
37637117,25981466
37630508,25981466
37509059,25981466
37425362,25981466
37402738,25981466
37333257,25981466
37316664,25981466
37237582,25981466
37178792,25981466
37176948,25981466
37118221,25981466
37073287,25981466
36960048,25981466
36925687,25981466
36911238,25981466
36732857,25981466
36727449,25981466
36698226,25981466
36560945,25981466
36477756,25981466
36422373,25981466
36340792,25981466
36312941,25981466
36233352,25981466
36162999,25981466
36100322,25981466
36080431,25981466
36073935,25981466
36033876,25981466
35974205,25981466
35935192,25981466
35913594,25981466
35909208,25981466
35888158,25981466
35861526,25981466
35711292,25981466
35569864,25981466
35547240,25981466
35475644,25981466
35448780,25981466
35382490,25981466
35337340,25981466
35246186,25981466
35241090,25981466
35234622,25981466
35205388,25981466
35196217,25981466
35194511,25981466
35174353,25981466
35170999,25981466
35095268,25981466
35055871,25981466
34992734,25981466
34944496,25981466
34940615,25981466
34901007,25981466
34781949,25981466
34745851,25981466
34727007,25981466
34604217,25981466
34502539,25981466
34372494,25981466
34371550,25981466
34370561,25981466
34314595,25981466
34286046,25981466
34276629,25981466
34164771,25981466
34160807,25981466
34107040,25981466
39493894,26470680
39076655,26470680
39006883,26470680
38808253,26470680
38779119,26470680
38380103,26470680
38288017,26470680
38287906,26470680
38041049,26470680
37545694,26470680
37516673,26470680
37397563,26470680
37175545,26470680
37166046,26470680
37143065,26470680
37063482,26470680
36727449,26470680
36613762,26470680
36482283,26470680
36454475,26470680
36454462,26470680
36263098,26470680
36143270,26470680
36010612,26470680
35682838,26470680
35331236,26470680
35248405,26470680
35053139,26470680
34943991,26470680
34805257,26470680
34655056,26470680
34630029,26470680
34458777,26470680
34321099,26470680
34107040,26470680
34012519,26470680
33974093,26470680
33937740,26470680
33935716,26470680
33854378,26470680
33778010,26470680
33554501,26470680
33533168,26470680
33523179,26470680
33519922,26470680
33393066,26470680
33318646,26470680
33028045,26470680
32953110,26470680
32884115,26470680
32810272,26470680
32751747,26470680
32705582,26470680
32486234,26470680
32230737,26470680
32096600,26470680
31974191,26470680
31933283,26470680
31753034,26470680
31740957,26470680
31223563,26470680
31143130,26470680
31069393,26470680
31003545,26470680
30820192,26470680
30464460,26470680
30085071,26470680
30062216,26470680
29955892,26470680
29552703,26470680
29456815,26470680
29305085,26470680
29192237,26470680
28920889,26470680
28725194,26470680
28606739,26470680
28503441,26470680
28415820,26470680
27882407,26470680
27800615,26470680
27672148,26470680
27542298,26470680
27489041,26470680
27384229,26470680
27340770,26470680
27315329,26470680
26830113,26470680
26784641,26470680
39161350,27250031
39141555,27250031
39130943,27250031
39006883,27250031
38915370,27250031
38746211,27250031
38409587,27250031
38228965,27250031
36613762,27250031
36555398,27250031
36384524,27250031
36135023,27250031
36091786,27250031
35912256,27250031
35553404,27250031
35463432,27250031
35453588,27250031
35328421,27250031
34781949,27250031
34744446,27250031
34522219,27250031
33748164,27250031
33482972,27250031
33381459,27250031
33359413,27250031
33094378,27250031
32695841,27250031
32629971,27250031
32591003,27250031
32536869,27250031
32332872,27250031
31970591,27250031
31819161,27250031
31482066,27250031
30728669,27250031
30696954,27250031
30582938,27250031
30259416,27250031
29507709,27250031
29409115,27250031
29285230,27250031
28624197,27250031
27725818,27250031
39580469,33157047
39482304,33157047
39313617,33157047
39291264,33157047
39233906,33157047
39200158,33157047
39158822,33157047
38948115,33157047
38937834,33157047
38855182,33157047
38680680,33157047
38670977,33157047
38635080,33157047
38525247,33157047
38430362,33157047
38392563,33157047
38250041,33157047
38173794,33157047
38093984,33157047
38082320,33157047
38016960,33157047
38003514,33157047
37908590,33157047
37834150,33157047
37815191,33157047
37736806,33157047
37626665,33157047
37592036,33157047
37490204,33157047
37483353,33157047
37425038,33157047
37207126,33157047
37200626,33157047
37137901,33157047
37048073,33157047
37037965,33157047
36925702,33157047
36876940,33157047
36831216,33157047
36823355,33157047
36699015,33157047
36685285,33157047
36680093,33157047
36484104,33157047
36042877,33157047
35991312,33157047
35837331,33157047
35835508,33157047
35822766,33157047
35806216,33157047
35799444,33157047
35796760,33157047
35735722,33157047
35369478,33157047
35322210,33157047
35250172,33157047
35216392,33157047
35197604,33157047
35194172,33157047
35146483,33157047
34943799,33157047
34833137,33157047
34759910,33157047
34757806,33157047
34745227,33157047
34638524,33157047
34617071,33157047
34365511,33157047
34336851,33157047
33979618,33157047
33856594,33157047
33800815,33157047
33621191,33157047
33247284,33157047
39399398,32758911
39367442,32758911
39315032,32758911
39268697,32758911
39211481,32758911
38911722,32758911
38584552,32758911
38534252,32758911
38443394,32758911
38392022,32758911
38258263,32758911
38249803,32758911
38034811,32758911
37998163,32758911
37782626,32758911
37763907,32758911
37693076,32758911
37662004,32758911
37628594,32758911
37622872,32758911
37509680,32758911
37334268,32758911
37313114,32758911
37284238,32758911
37159750,32758911
37148798,32758911
37107608,32758911
36901914,32758911
36878066,32758911
36875498,32758911
36826896,32758911
36712576,32758911
36551141,32758911
36551061,32758911
36530849,32758911
36507266,32758911
36421156,32758911
36405495,32758911
36367481,32758911
36290480,32758911
36213409,32758911
36212015,32758911
36183037,32758911
36157513,32758911
36156138,32758911
36088673,32758911
36037185,32758911
35989704,32758911
35925472,32758911
35871983,32758911
35775611,32758911
35763567,32758911
35741144,32758911
35735514,32758911
35637328,32758911
35569864,32758911
35508982,32758911
35498089,32758911
35453874,32758911
35284406,32758911
35271569,32758911
35258601,32758911
35238530,32758911
35194511,32758911
35181291,32758911
35136384,32758911
35062978,32758911
35051122,32758911
35016109,32758911
34969115,32758911
34943438,32758911
34894011,32758911
34843826,32758911
34778896,32758911
34759957,32758911
34659710,32758911
34629572,32758911
34562891,32758911
34511726,32758911
34462612,32758911
34413302,32758911
34276930,32758911
34271398,32758911
34147688,32758911
34131407,32758911
33996635,32758911
33968799,32758911
33954080,32758911
33848464,32758911
33846767,32758911
33808947,32758911
33763777,32758911
33617832,32758911
33548654,32758911
33497879,32758911
33428981,32758911
33312326,32758911
33043291,32758911
