citing_pmid,cited_pmid
39543752,28244479
39519654,28244479
39464707,28244479
39457573,28244479
39432502,28244479
39309448,28244479
39199299,28244479
39172329,28244479
39170890,28244479
39156270,28244479
39126491,28244479
39060656,28244479
39031243,28244479
38994758,28244479
38962306,28244479
38916791,28244479
38892035,28244479
38709265,28244479
38581717,28244479
38482619,28244479
38406797,28244479
38274938,28244479
38202567,28244479
38187062,28244479
38093732,28244479
38083896,28244479
38038165,28244479
38027310,28244479
38024311,28244479
37998326,28244479
37975929,28244479
37969702,28244479
37958772,28244479
37859875,28244479
37646041,28244479
37628839,28244479
37570851,28244479
37511551,28244479
37299182,28244479
37285365,28244479
37197258,28244479
37175226,28244479
37033847,28244479
36986549,28244479
36943663,28244479
36844721,28244479
36839030,28244479
36743028,28244479
36717861,28244479
36626098,28244479
36620535,28244479
36467499,28244479
36370774,28244479
36355478,28244479
36354315,28244479
36211441,28244479
36110131,28244479
36091247,28244479
36046484,28244479
35844396,28244479
35796777,28244479
35755728,28244479
35745567,28244479
35665067,28244479
35603567,28244479
35498001,28244479
35458136,28244479
35433388,28244479
35408492,28244479
35299682,28244479
35280516,28244479
35157120,28244479
35095493,28244479
35055962,28244479
35028645,28244479
35011447,28244479
34888205,28244479
34754327,28244479
34582674,28244479
34239860,28244479
34149687,28244479
34139984,28244479
33922000,28244479
33830559,28244479
33746573,28244479
33575800,28244479
33402733,28244479
33363625,28244479
33163406,28244479
33133646,28244479
32984343,28244479
32984260,28244479
32388498,28244479
31636809,28244479
31416420,28244479
39555072,31761807
39436581,31761807
39398533,31761807
39275058,31761807
39196463,31761807
39022516,31761807
38998686,31761807
38835046,31761807
38745507,31761807
38709265,31761807
38195781,31761807
38188016,31761807
37958697,31761807
37859875,31761807
37814270,31761807
37711849,31761807
37649893,31761807
37594586,31761807
37570875,31761807
37465349,31761807
37340203,31761807
37299182,31761807
37285365,31761807
36986024,31761807
36845553,31761807
36844627,31761807
36837801,31761807
36834525,31761807
36814229,31761807
36714524,31761807
36713029,31761807
36407085,31761807
36293239,31761807
36204132,31761807
36131911,31761807
35991884,31761807
35804886,31761807
35458136,31761807
35401204,31761807
35399507,31761807
35111762,31761807
35087593,31761807
35082907,31761807
35046810,31761807
34863188,31761807
34070945,31761807
34067322,31761807
39522104,28574057
39458667,28574057
39451404,28574057
39450562,28574057
39409108,28574057
39372551,28574057
39314753,28574057
39285886,28574057
39246746,28574057
38994350,28574057
38817429,28574057
38760742,28574057
38736745,28574057
38706910,28574057
38616756,28574057
38591197,28574057
38499612,28574057
38475902,28574057
38391982,28574057
38376619,28574057
38366078,28574057
38169524,28574057
38112935,28574057
38094657,28574057
38038165,28574057
38035069,28574057
37810967,28574057
37765054,28574057
37711033,28574057
37701630,28574057
37667338,28574057
37570851,28574057
37539204,28574057
37537191,28574057
37457134,28574057
37394575,28574057
37363044,28574057
37353849,28574057
37260890,28574057
37259209,28574057
37175509,28574057
37175435,28574057
37005677,28574057
36814229,28574057
36801383,28574057
36713213,28574057
36644133,28574057
