pmid,title,journal,date,num_authors
21904102,Key concepts of clinical trials: a narrative review.,Postgraduate medicine,2011-Sep-1,3
31427159,An introduction to clinical trial design.,Paediatric respiratory reviews,2019-Nov-1,4
27406349,Adaptive Designs for Clinical Trials.,The New England journal of medicine,2016-Jul-07,2
14996952,Clinical trials and tribulations.,Journal of the Royal Society of Medicine,2004-Mar-1,2
1792462,Falsificationism and clinical trials.,Statistics in medicine,1991-Nov-1,1
26604186,Practical guide to sample size calculations: non-inferiority and equivalence trials.,Pharmaceutical statistics,2016-1-1,2
38319232,Data and Safety Monitoring Board Monitoring of Clinical Trials for Early Efficacy.,NEJM evidence,2022-Mar-1,2
20824446,Clinical trials and rare diseases.,Advances in experimental medicine and biology,2010-1-1,2
38880991,The safety of early phase clinical trials: Bridging the gap between governance and practice.,British journal of clinical pharmacology,2024-Jul-1,2
19671427,"Exploratory clinical trials: implementation modes & guidelines, scope and regulatory framework.",Therapie,2009-1-1,3
39561120,Large language models in medicine: A review of current clinical trials across healthcare applications.,PLOS digital health,2024-Nov-1,4
39416325,Research designs for cardiothoracic surgeons: part 1 - a primer for evidence-based practice.,Indian journal of thoracic and cardiovascular surgery,2024-Nov-1,1
39296765,Scooping Review of Diabetes Research in Kenya from 2000 to 2020.,The East African health research journal,2024-1-1,2
39237961,Anything is better than nothing': exploring attitudes towards novel therapies in leukodystrophy clinical trials.,Orphanet journal of rare diseases,2024-Sep-05,6
39145070,Clinical research progress of telomerase targeted cancer immunotherapy: a literature review.,Translational cancer research,2024-Jul-31,4
39123237,Mapping vaccine names in clinical trials to vaccine ontology using cascaded fine-tuned domain-specific language models.,Journal of biomedical semantics,2024-Aug-10,8
38931474,"Pharmacovigilance in Vaccines: Importance, Main Aspects, Perspectives, and Challenges-A Narrative Review.","Pharmaceuticals (Basel, Switzerland)",2024-Jun-19,9
38887635,Chitosan alchemy: transforming tissue engineering and wound healing.,RSC advances,2024-Jun-12,9
38827083,Automating Clinical Trial Matches Via Natural Language Processing of Synthetic Electronic Health Records and Clinical Trial Eligibility Criteria.,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2024-1-1,7
38793779,The Platform Technology Approach to mRNA Product Development and Regulation.,Vaccines,2024-May-11,4
38778365,Reporting on patient's body mass index (BMI) in recent clinical trials for patients with breast cancer: a systematic review.,Breast cancer research : BCR,2024-May-22,13
38770190,How to design a theranostic trial?,"Endocrine oncology (Bristol, England)",2024-Jan-01,4
38693446,The current status and global trends of clinical trials related to robotic surgery: a bibliometric and visualized study.,Journal of robotic surgery,2024-May-02,4
38630522,Comparing Open-Access Database and Traditional Intensive Care Studies Using Machine Learning: Bibliometric Analysis Study.,Journal of medical Internet research,2024-Apr-17,3
38590484,"Bridging, Mapping, and Addressing Research Gaps in Health Sciences: The Naqvi-Gabr Research Gap Framework.",Cureus,2024-Mar-1,6
38587757,Nanomedicines via the pulmonary route: a promising strategy to reach the target?,Drug delivery and translational research,2024-Aug-1,2
38586121,Establishment of Advanced Regulatory Innovation for Clinical Trials Transformation (ARICTT): a multi-stakeholder public-private partnership-based organization to accelerate the transformation of clinical trials.,Translational and clinical pharmacology,2024-Mar-1,5
38455102,Human dental pulp stem/stromal cells in clinical practice.,World journal of stem cells,2024-Feb-26,1
38317223,Discontinuation and nonpublication of clinical trials in orthopaedic oncology.,Journal of orthopaedic surgery and research,2024-Feb-05,6
38288808,Two Birds with One Stone: Drug Regime Targets Viral Pathogenesis Phases and COVID-19 ARDS at the Same Time.,Infectious disorders drug targets,2024-1-1,2
38248286,Pathophysiology to Risk Factor and Therapeutics to Treatment Strategies on Epilepsy.,Brain sciences,2024-Jan-10,10
38226130,A Comprehensive Review of Treatment Strategies for Early Avascular Necrosis.,Cureus,2023-Dec-1,5
38133910,Email-Based Recruitment Into the Health eHeart Study: Cohort Analysis of Invited Eligible Patients.,Journal of medical Internet research,2023-Dec-22,5
38131682,Combined Results of Two Cross-Sectional Surveys on the Participation in Clinical Trials and the e-Consent Procedure in the Landscape of Haematology.,Clinics and practice,2023-Nov-23,4
38070173,Evaluation framework for conversational agents with artificial intelligence in health interventions: a systematic scoping review.,Journal of the American Medical Informatics Association : JAMIA,2024-Feb-16,5
38064162,Diversity in Oncology Clinical Trials: Current Landscape for Industry-Sponsored Clinical Trials in Asia.,Oncology and therapy,2024-Mar-1,3
38062923,Complex in vitro Model: A Transformative Model in Drug Development and Precision Medicine.,Clinical and translational science,2023-Dec-07,5
38058865,Novel hybrid medical curriculum in a developing country: Experience of medical students.,MedEdPublish (2016),2020-1-1,3
38025285,"Characteristics, attitudes, and the odds for positive attitude toward clinical trial: A study on Indonesian COVID-19 vaccine trial participants.",Perspectives in clinical research,2023-1-1,10
38009131,Personalized (N-of-1) Trials for Patient-Centered Treatments of Multimorbidity.,Harvard data science review,2022-1-1,3
37890866,Evaluation of factors associated with recruitment rates in early phase clinical trials based on the European Clinical Trials Register data.,Clinical and translational science,2023-Dec-1,6
37872545,A 10-year update to the principles for clinical trial data sharing by pharmaceutical companies: perspectives based on a decade of literature and policies.,BMC medicine,2023-Oct-23,16
37855974,A Novel Method for Deriving Adverse Event Prevalence in Randomized Controlled Trials: Potential for Improved Understanding of Benefit-Risk Ratio and Application to Drug Labels.,Advances in therapy,2024-Jan-1,7
37841880,Mapping Vaccine Names in Clinical Trials to Vaccine Ontology using Cascaded Fine-Tuned Domain-Specific Language Models.,Research square,2023-Sep-27,8
37588226,Drug repurposing: A novel strategy to target cancer stem cells and therapeutic resistance.,Genes & diseases,2024-Jan-1,2
37397488,Bifunctional antibiotic hybrids: A review of clinical candidates.,Frontiers in pharmacology,2023-1-1,6
37378989,Collective endpoint of visual acuity and contrast sensitivity function from hierarchical Bayesian joint modeling.,Journal of vision,2023-Jun-01,4
37376434,A Review of Inactivated COVID-19 Vaccine Development in China: Focusing on Safety and Efficacy in Special Populations.,Vaccines,2023-May-31,9
37278426,Sociodemographic disparities in ophthalmological clinical trials.,BMJ open ophthalmology,2023-Feb-1,8
37249821,Interpersonal Values of Patients Participating in Phase II-III Clinical Trials: Implications for Clinical Trial Representativeness.,Pharmaceutical medicine,2023-Jul-1,4
37125724,A Systematic Review of Methods to Incorporate External Evidence into Trial-Based Survival Extrapolations for Health Technology Assessment.,Medical decision making : an international journal of the Society for Medical Decision Making,2023-Jul-1,5
37112840,A Perspective on Current Flavivirus Vaccine Development: A Brief Review.,Viruses,2023-Mar-28,2
36983553,Mebendazole Inhibits ,"Journal of fungi (Basel, Switzerland)",2023-Mar-21,13
36938261,Clinical Trials and Clinical Research: A Comprehensive Review.,Cureus,2023-Feb-1,2
