id,name,article_count
craigaumscheid,Craig A Umscheid,1
davidjmargolis,David J Margolis,1
craigegrossman,Craig E Grossman,1
aschultz,A Schultz,1
brsaville,B R Saville,1
jamarsh,J A Marsh,1
tlsnelling,T L Snelling,1
deepaklbhatt,Deepak L Bhatt,1
cyrusmehta,Cyrus Mehta,1
phcanter,P H Canter,1
eernst,E Ernst,1
sjsenn,S J Senn,1
lauraflight,Laura Flight,1
stevenajulious,Steven A Julious,1
loriedodd,Lori E Dodd,1
michaelaproschan,Michael A Proschan,1
joachimwernerottogerss,Joachim Werner Otto Gerss,1
wolfgangköpcke,Wolfgang Köpcke,1
ulrikelorch,Ulrike Lorch,1
charlesvincent,Charles Vincent,1
alainfrancillon,Alain Francillon,1
gisèlepickering,Gisèle Pickering,1
chantalbelorgey,Chantal Belorgey,1
mahmudomar,Mahmud Omar,1
girishnnadkarni,Girish N Nadkarni,1
eyalklang,Eyal Klang,1
benjaminsglicksberg,Benjamin S Glicksberg,1
hshafeeqahmed,H Shafeeq Ahmed,1
anthonymuchaimanyara,Anthony Muchai Manyara,1
protusmusotsi,Protus Musotsi,1
ellawilson,Ella Wilson,1
richardleventer,Richard Leventer,1
chloecunningham,Chloe Cunningham,1
michellegdesilva,Michelle G de Silva,1
janhodgson,Jan Hodgson,1
eloiseuebergang,Eloise Uebergang,1
yuwang,Yu Wang,1
xiaoyingzhang,Xiaoying Zhang,1
guangmingchen,Guangming Chen,1
mingzheshao,Mingzhe Shao,1
jianfuli,Jianfu Li,1
yimingli,Yiming Li,1
yuanyipan,Yuanyi Pan,1
jinjingguo,Jinjing Guo,1
zenansun,Zenan Sun,1
fangli,Fang Li,1
yongqunhe,Yongqun He,1
cuitao,Cui Tao,1
katharinevalériasaraivahodel,Katharine Valéria Saraiva Hodel,1
biancasampaiodottofiuza,Bianca Sampaio Dotto Fiuza,1
rodrigosouzaconceição,Rodrigo Souza Conceição,1
augustocezarmagalhãesaleluia,Augusto Cezar Magalhães Aleluia,1
thassilanogueirapitanga,Thassila Nogueira Pitanga,1
larissamoraesdossantosfonseca,Larissa Moraes Dos Santos Fonseca,1
camilaoliveiravalente,Camila Oliveira Valente,1
cintiasilvaminafra-rezende,Cintia Silva Minafra-Rezende,1
brunaaparecidasouzamachado,Bruna Aparecida Souza Machado,1
sheershapramanik,Sheersha Pramanik,1
akankshaaggarwal,Akanksha Aggarwal,1
ammarkadi,Ammar Kadi,1
majidalhomrani,Majid Alhomrani,1
abdulhakeemsalamri,Abdulhakeem S Alamri,1
walaafalsanie,Walaa F Alsanie,1
kanchankoul,Kanchan Koul,1
adeepak,A Deepak,1
stefanobellucci,Stefano Bellucci,1
victormmurcia,Victor M Murcia,1
vinodaggarwal,Vinod Aggarwal,1
nikhilpesaladinne,Nikhil Pesaladinne,1
ramthammineni,Ram Thammineni,1
nhando,Nhan Do,1
gilalterovitz,Gil Alterovitz,1
rafaelbfricks,Rafael B Fricks,1
johnhskerritt,John H Skerritt,1
carolyntucek-szabo,Carolyn Tucek-Szabo,1
brettsutton,Brett Sutton,1
terrynolan,Terry Nolan,1
josephinevancauwenberge,Josephine Van Cauwenberge,1
karenvanbaelen,Karen Van Baelen,1
marionmaetens,Marion Maetens,1
tatjanageukens,Tatjana Geukens,1
halinhnguyen,Ha Linh Nguyen,1
inesnevelsteen,Ines Nevelsteen,1
annsmeets,Ann Smeets,1
annedeblander,Anne Deblander,1
patrickneven,Patrick Neven,1
stijnkoolen,Stijn Koolen,1
hanswildiers,Hans Wildiers,1
kevinpunie,Kevin Punie,1
christinedesmedt,Christine Desmedt,1
dheeratamasiripongsatian,Dheeratama Siripongsatian,1
quidogdelussanetdelasablonière,Quido G de Lussanet de la Sablonière,1
frederikantonverburg,Frederik Anton Verburg,1
tessabrabander,Tessa Brabander,1
xinruilong,Xinrui Long,1
jiaqichen,Jiaqi Chen,1
jiaqili,Jiaqi Li,1
zhonglinluo,Zhonglin Luo,1
yuheke,Yuhe Ke,1
ruiyang,Rui Yang,1
nanliu,Nan Liu,1
waqarmnaqvi,Waqar M Naqvi,1
mamdouhgabr,Mamdouh Gabr,1
sakshiparora,Sakshi P Arora,1
gauravvmishra,Gaurav V Mishra,1
aishwaryaapashine,Aishwarya A Pashine,1
zahiruddinquazisyed,Zahiruddin Quazi Syed,1
mélinaguérin,Mélina Guérin,1
eliselepeltier,Elise Lepeltier,1
wookyungchung,Woo Kyung Chung,1
kiyounghuh,Ki Young Huh,1
jiyeonpark,Jiyeon Park,1
jaeseongoh,Jaeseong Oh,1
kyung-sangyu,Kyung-Sang Yu,1
mohammedegrawish,Mohammed E Grawish,1
gurbindersingh,Gurbinder Singh,1
aboubacarwague,Aboubacar Wague,1
ayusharora,Ayush Arora,1
varunrao,Varun Rao,1
derekward,Derek Ward,1
jeffreybarry,Jeffrey Barry,1
ghazalehghavami,Ghazaleh Ghavami,1
soroushsardari,Soroush Sardari,1
anapauladearaújoboleti,Ana Paula de Araújo Boleti,1
pedrohenriquedeoliveiracardoso,Pedro Henrique de Oliveira Cardoso,1
brenoemanuelfariasfrihling,Breno Emanuel Farias Frihling,1
luizfiliperamalhonunesdemoraes,Luiz Filipe Ramalho Nunes de Moraes,1
ellynesamanciocorreianunes,Ellynes Amancio Correia Nunes,1
lincolntakashihotamukoyama,Lincoln Takashi Hota Mukoyama,1
ellydbertoamanciocorreianunes,Ellydberto Amancio Correia Nunes,1
cristianomarceloespinolacarvalho,Cristiano Marcelo Espinola Carvalho,1
marialígiarodriguesmacedo,Maria Lígia Rodrigues Macedo,1
ludovicomigliolo,Ludovico Migliolo,1
ashutoshlohiya,Ashutosh Lohiya,1
nareshkumardhaniwala,Nareshkumar Dhaniwala,1
ulhasdudhekar,Ulhas Dudhekar,1
sakshamgoyal,Saksham Goyal,1
siddharthkpatel,Siddharth K Patel,1
madelenayng,Madelena Y Ng,1
jeffreyeolgin,Jeffrey E Olgin,1
gregorymmarcus,Gregory M Marcus,1
courtneyrlyles,Courtney R Lyles,1
markjpletcher,Mark J Pletcher,1
bertheyrman,Bert Heyrman,1
stefmeers,Stef Meers,1
annvandevelde,Ann Van De Velde,1
sébastienanguille,Sébastien Anguille,1
hangding,Hang Ding,1
joshuasimmich,Joshua Simmich,1
atiyehvaezipour,Atiyeh Vaezipour,1
nicoleandrews,Nicole Andrews,1
trevorrussell,Trevor Russell,1
danyhabr,Dany Habr,1
manmohansingh,Manmohan Singh,1
robertouehara,Roberto Uehara,1
lumingwang,Luming Wang,1
danpinghu,Danping Hu,1
jinmingxu,Jinming Xu,1
jianhu,Jian Hu,1
yifeiwang,Yifei Wang,1
wafaamowlabaccus,Wafaa Mowlabaccus,1
zuhairhussainmohamed,Zuhair Hussain Mohamed,1
adnaanmowlabaccus,Adnaan Mowlabaccus,1
nanimaharani,Nani Maharani,1
nuvigustriawanto,Nuvi Gustriawanto,1
yettymnency,Yetty M Nency,1
endangmahati,Endang Mahati,1
glennfyeremia,Glenn F Yeremia,1
dimastanantyo,Dimas T Anantyo,1
rebriarinahapsari,Rebriarina Hapsari,1
mulyonomulyono,Mulyono Mulyono,1
setyogpramudo,Setyo G Pramudo,1
nurfarhanah,Nur Farhanah,1
jerrymsuls,Jerry M Suls,1
catherinealfano,Catherine Alfano,1
christinayap,Christina Yap,1
palomamoragaalapont,Paloma Moraga Alapont,1
paulaprieto,Paula Prieto,1
mikelurroz,Mikel Urroz,1
maríajiménez,María Jiménez,1
antoniojcarcas,Antonio J Carcas,1
albertomborobia,Alberto M Borobia,1
natanshdmodi,Natansh D Modi,1
ganessankichenadasse,Ganessan Kichenadasse,1
tammychoffmann,Tammy C Hoffmann,1
markhaseloff,Mark Haseloff,1
jessicamlogan,Jessica M Logan,1
aretiaveroniki,Areti A Veroniki,1
rebeccalvenchiarutti,Rebecca L Venchiarutti,1
ameliaksmit,Amelia K Smit,1
haithamtuffaha,Haitham Tuffaha,1
harindrajayasekara,Harindra Jayasekara,1
arkadymanning-bennet,Arkady Manning-Bennet,1
erinmorton,Erin Morton,1
rossamckinnon,Ross A McKinnon,1
andrewrowland,Andrew Rowland,1
michaeljsorich,Michael J Sorich,1
ashleymhopkins,Ashley M Hopkins,1
dariapiacentino,Daria Piacentino,1
ajayogirala,Ajay Ogirala,1
robertlew,Robert Lew,1
gregoryloftus,Gregory Loftus,1
maryaliceworden,MaryAlice Worden,1
kennethskoblan,Kenneth S Koblan,1
sethchopkins,Seth C Hopkins,1
divyaajmeera,Divya Ajmeera,1
rajannaajumeera,Rajanna Ajumeera,1
augustinejingjiekoh,Augustine Jing Jie Koh,1
varshathombare,Varsha Thombare,1
maythamhussein,Maytham Hussein,1
gaurigrao,Gauri G Rao,1
jianli,Jian Li,1
tonyvelkov,Tony Velkov,1
yukaizhao,Yukai Zhao,1
luisandreslesmes,Luis Andres Lesmes,1
michaeldorr,Michael Dorr,1
zhong-linlu,Zhong-Lin Lu,1
lidanhu,Lidan Hu,1
jingmiaosun,Jingmiao Sun,1
yanwang,Yan Wang,1
dannytan,Danny Tan,1
zhongkaicao,Zhongkai Cao,1
langpinggao,Langping Gao,1
yuelinguan,Yuelin Guan,1
xiuweijia,Xiuwei Jia,1
jianhuamao,Jianhua Mao,1
luisfilipenakayama,Luis Filipe Nakayama,1
williamgreigmitchell,William Greig Mitchell,1
skylershapiro,Skyler Shapiro,1
alvinapaulinedsantiago,Alvina Pauline D Santiago,1
warachayaphanphruk,Warachaya Phanphruk,1
khumbokalua,Khumbo Kalua,1
leoanthonyceli,Leo Anthony Celi,1
caioviniciussaitoregatieri,Caio Vinicius Saito Regatieri,1
ritagouveia,Rita Gouveia,1
vitortedimcruz,Vitor Tedim Cruz,1
joanaantão,Joana Antão,1
luísalmeida,Luís Almeida,1
ashbullement,Ash Bullement,1
matthewdstevenson,Matthew D Stevenson,1
gianlucabaio,Gianluca Baio,1
gemmaeshields,Gemma E Shields,1
nicholasrlatimer,Nicholas R Latimer,1
sudipkumardutta,Sudip Kumar Dutta,1
thomaslangenburg,Thomas Langenburg,1
marcosabreualmeida,Marcos Abreu Almeida,1
andreareisbernardes-engemann,Andrea Reis Bernardes-Engemann,1
rowenaalvescoelho,Rowena Alves Coelho,1
camilajantoroguzmanlugones,Camila Jantoro Guzman Lugones,1
iarabastosdeandrade,Iara Bastos de Andrade,1
dariocorrêa-junior,Dario Corrêa-Junior,1
simonesantiagocarvalhodeoliveira,Simone Santiago Carvalho de Oliveira,1
andréluissouzadossantos,André Luis Souza Dos Santos,1
susanafrases,Susana Frases,1
márciolourençorodrigues,Márcio Lourenço Rodrigues,1
richardhemmivalente,Richard Hemmi Valente,1
roselymariazancopé-oliveira,Rosely Maria Zancopé-Oliveira,1
rodrigoalmeida-paes,Rodrigo Almeida-Paes,1
venkataramanakandi,Venkataramana Kandi,1
sabithavadakedath,Sabitha Vadakedath,1
davidqbeversdorf,David Q Beversdorf,1
evdokiaanagnostou,Evdokia Anagnostou,1
antoniohardan,Antonio Hardan,1
paulwang,Paul Wang,1
craigaerickson,Craig A Erickson,1
thomaswfrazier,Thomas W Frazier,1
jeremyveenstra-vanderweele,Jeremy Veenstra-VanderWeele,1
abartakova,A Bartakova,1
mnovakova,M Novakova,1
tstracina,T Stracina,1
johnmjpaulissen,John M J Paulissen,1
catharinamlzegers,Catharina M L Zegers,1
ivernarnijsten,Iverna R Nijsten,1
pascallehcmreiters,Pascalle H C M Reiters,1
ruudmhouben,Ruud M Houben,1
daniëllebpeekers,Daniëlle B P Eekers,1
erikroelofs,Erik Roelofs,1
hannahkakish,Hanna H Kakish,1
fasihaliahmed,Fasih Ali Ahmed,1
mohamedraedelshami,Mohamedraed Elshami,1
alexanderwloftus,Alexander W Loftus,1
richardshoehn,Richard S Hoehn,1
johnbammori,John B Ammori,1
leemocuin,Lee M Ocuin,1
jordanmwinter,Jordan M Winter,1
jeremysbordeaux,Jeremy S Bordeaux,1
ankitmangla,Ankit Mangla,1
lukedrothermel,Luke D Rothermel,1
anranwang,Anran Wang,1
xiaoleixiu,Xiaolei Xiu,1
shengyuliu,Shengyu Liu,1
qingqian,Qing Qian,1
sizhuwu,Sizhu Wu,1
markappeaning,Mark Appeaning,1
helenowusu-asante,Helen Owusu-Asante,1
samuelkwofie,Samuel Kwofie,1
georgearhin,George Arhin,1
andrewoppongasamoah,Andrew Oppong Asamoah,1
tawficali,Tawfic Ali,1
reginaldrolandamponsah,Reginald Roland Amponsah,1
philippadavies,Philippa Davies,1
derekstewart,Derek Stewart,1
valeriewells,Valerie Wells,1
christopherweir,Christopher Weir,1
amberyoung,Amber Young,1
rodtaylor,Rod Taylor,1
orianaciani,Oriana Ciani,1
christopherjweir,Christopher J Weir,1
nancyjbutcher,Nancy J Butcher,1
sylwiabujkiewicz,Sylwia Bujkiewicz,1
an-wenchan,An-Wen Chan,1
