citing_pmid,cited_pmid
39561120,21904102
39416325,21904102
39296765,21904102
39237961,21904102
39145070,21904102
39123237,21904102
38931474,21904102
38887635,21904102
38827083,21904102
38793779,21904102
38778365,21904102
38770190,21904102
38693446,21904102
38630522,21904102
38590484,21904102
38587757,21904102
38586121,21904102
38455102,21904102
38317223,21904102
38288808,21904102
38248286,21904102
38226130,21904102
38133910,21904102
38131682,21904102
38070173,21904102
38064162,21904102
38062923,21904102
38058865,21904102
38025285,21904102
38009131,21904102
37890866,21904102
37872545,21904102
37855974,21904102
37841880,21904102
37588226,21904102
37397488,21904102
37378989,21904102
37376434,21904102
37278426,21904102
37249821,21904102
37125724,21904102
37112840,21904102
36983553,21904102
36938261,21904102
36741580,21904102
36647909,21904102
36387779,21904102
36358601,21904102
36294269,21904102
36262802,21904102
36229145,21904102
36220321,21904102
36187302,21904102
35928984,21904102
35419811,21904102
35353547,21904102
35320383,21904102
35309874,21904102
35296390,21904102
35269990,21904102
35245312,21904102
35244892,21904102
35177455,21904102
35149575,21904102
35103043,21904102
35052904,21904102
35022192,21904102
34888523,21904102
34827306,21904102
34717608,21904102
34659650,21904102
34312136,21904102
34194374,21904102
34065757,21904102
33884435,21904102
33871845,21904102
33801366,21904102
33650691,21904102
33407321,21904102
33134333,21904102
33132716,21904102
32983722,21904102
32959207,21904102
32944185,21904102
32851330,21904102
32833154,21904102
32695021,21904102
32655410,21904102
32461927,21904102
32313250,21904102
32245841,21904102
32143286,21904102
32081774,21904102
31819382,21904102
31796474,21904102
31687250,21904102
31032473,21904102
31017843,21904102
30918029,21904102
30485832,21904102
39506950,31427159
39453955,31427159
39237961,31427159
39193782,31427159
37772251,31427159
37553219,31427159
37304438,31427159
36553975,31427159
36474730,31427159
36405841,31427159
36009862,31427159
34966375,31427159
39399120,27406349
39158916,27406349
39129807,27406349
39030495,27406349
38993760,27406349
38909174,27406349
38849555,27406349
38714936,27406349
38448221,27406349
38443521,27406349
38438349,27406349
38367197,27406349
38286691,27406349
38154899,27406349
38006824,27406349
38001154,27406349
37910523,27406349
37889193,27406349
37843888,27406349
37679710,27406349
37675452,27406349
37650234,27406349
37628452,27406349
37508003,27406349
37464130,27406349
37228293,27406349
37085329,27406349
37021359,27406349
36806787,27406349
36792750,27406349
36776339,27406349
36679672,27406349
36606689,27406349
36575335,27406349
36514143,27406349
36506834,27406349
36451173,27406349
36386444,27406349
36348476,27406349
36285392,27406349
36045401,27406349
36036933,27406349
35982468,27406349
35831300,27406349
35528969,27406349
35471559,27406349
35418135,27406349
35273052,27406349
35248422,27406349
35246185,27406349
35098659,27406349
35078490,27406349
35038407,27406349
34814925,27406349
34809626,27406349
34556664,27406349
34447897,27406349
34421799,27406349
34407641,27406349
34396168,27406349
34038951,27406349
34012901,27406349
33865473,27406349
33856964,27406349
33748913,27406349
33745454,27406349
33693475,27406349
33637044,27406349
33614609,27406349
33521483,27406349
33431510,27406349
33413494,27406349
33303078,27406349
33227451,27406349
33150545,27406349
33121978,27406349
33109654,27406349
33086158,27406349
33031148,27406349
32982751,27406349
32951684,27406349
32881234,27406349
32828137,27406349
32717997,27406349
32690063,27406349
32659235,27406349
32525876,27406349
32504825,27406349
32470514,27406349
32459574,27406349
32455877,27406349
32444433,27406349
32426740,27406349
32417343,27406349
32393216,27406349
32315340,27406349
32301141,27406349
32267301,27406349
32154005,27406349
32072303,27406349
15726398,14996952
37835368,1792462
35677319,1792462
32771018,1792462
22244007,1792462
16234430,1792462
11069436,1792462
9221304,1792462
7528126,1792462
39221375,26604186
39092744,26604186
39081188,26604186
39032928,26604186
38978124,26604186
38924038,26604186
38913235,26604186
38739437,26604186
38454380,26604186
38429393,26604186
38356882,26604186
38009090,26604186
37479524,26604186
37146412,26604186
36806136,26604186
36778820,26604186
36231917,26604186
35987776,26604186
35697438,26604186
35647963,26604186
35413919,26604186
35368773,26604186
35248123,26604186
34696777,26604186
33456901,26604186
33263234,26604186
33041146,26604186
32606059,26604186
32461297,26604186
31510957,26604186
31234919,26604186
31193160,26604186
30975147,26604186
30841930,26604186
38611109,20824446
32923863,20824446
32817435,20824446
30280044,20824446
29351763,20824446
28861905,20824446
28752290,20824446
28387537,20824446
27888381,20824446
27301273,20824446
26830113,20824446
25274616,20824446
24131572,20824446
21695041,20824446
37408015,19671427
34076336,19671427
29989021,19671427
28357178,19671427
