pmid,title,journal,date,num_authors
29252982,Regulating toxic chemicals for public and environmental health.,PLoS biology,2017-Dec-1,2
30835380,"Children's Environmental Health in Thailand: Past, Present, and Future.",Annals of global health,2018-Aug-31,6
30322231,ICSHNet. Environmental health challenges from industrial contamination.,Epidemiologia e prevenzione,2018-1-1,2
30990788,Environmental and health impacts of industrial wastewater effluents in Pakistan: a review.,Reviews on environmental health,2019-Jun-26,6
31799881,Environmental Health Practice Challenges and Research Needs for U.S. Health Departments.,Environmental health perspectives,2019-Dec-1,20
30501483,"History, evolution and future of environmental health in Uganda.",Archives of environmental & occupational health,2019-1-1,14
25626137,"Metro nature, environmental health, and economic value.",Environmental health perspectives,2015-May-1,2
27759495,Blood-borne biomarkers and bioindicators for linking exposure to health effects in environmental health science.,"Journal of toxicology and environmental health. Part B, Critical reviews",2016-1-1,3
32267415,Environmental health: emancipatory care challenges and possibilities by the nurse.,Revista brasileira de enfermagem,2020-1-1,4
16533111,Environmental justice: human health and environmental inequalities.,Annual review of public health,2006-1-1,2
38535500,An Exploratory Investigation of Organic Chemicals Detected in Baby Teeth: Differences in Children with and without Autism.,Journal of xenobiotics,2024-Mar-14,1
38095662,Moving Forward with Reporting Back Individual Environmental Health Research Results.,Environmental health perspectives,2023-Dec-1,2
37793340,PLOS Biology at 20: Reflecting on the road we've traveled.,PLoS biology,2023-Oct-1,3
36657670,"Juxtaposition of intensive agriculture, vulnerable aquifers, and mixed chemical/microbial exposures in private-well tapwater in northeast Iowa.",The Science of the total environment,2023-Apr-10,27
35457501,Cognitive Functioning and Nail Salon Occupational Exposure among Vietnamese Immigrant Women in Northern California.,International journal of environmental research and public health,2022-Apr-12,5
33752165,"Public and private tapwater: Comparative analysis of contaminant exposure and potential risk, Cape Cod, Massachusetts, USA.",Environment international,2021-Jul-1,22
32947900,Identifying Issues and Priorities in Reporting Back Environmental Health Data.,International journal of environmental research and public health,2020-Sep-16,5
32126404,"Mixed organic and inorganic tapwater exposures and potential effects in greater Chicago area, USA.",The Science of the total environment,2020-Jun-01,31
30635437,New approaches to cope with possible harms of low-dose environmental chemicals.,Journal of epidemiology and community health,2019-Mar-1,2
30460851,Reconnaissance of Mixed Organic and Inorganic Chemicals in Private and Public Supply Tapwaters at Selected Residential and Workplace Sites in the United States.,Environmental science & technology,2018-Dec-04,28
29844465,Swimming Exercise and Transient Food Deprivation in Caenorhabditis elegans Promote Mitochondrial Maintenance and Protect Against Chemical-Induced Mitotoxicity.,Scientific reports,2018-May-29,7
29370160,Correction: Regulating toxic chemicals for public and environmental health.,PLoS biology,2018-Jan-1,0
36858029,Incidence and Types of Fetal Chromosomal Abnormalities in First Trimester of Thai Pregnant Women between Miscarriages and Intrauterine Survivals.,Cytogenetic and genome research,2022-1-1,5
39050598,Promotion of environmental public health and environmental justice in communities affected by large and long lasting industrial contamination: methods applied and lessons learned from the case study of Porto Torres (Italy).,Frontiers in public health,2024-1-1,7
32983000,Antibiotic Resistance: Moving From Individual Health Norms to Social Norms in One Health and Global Health.,Frontiers in microbiology,2020-1-1,4
31225962,Environmental Health Education for Asbestos-Contaminated Communities in Italy: The Casale Monferrato Case Study.,Annals of global health,2019-Jun-17,4
30893943,Environmental Justice in Industrially Contaminated Sites. A Review of Scientific Evidence in the WHO European Region.,International journal of environmental research and public health,2019-Mar-19,3
39253192,Phyto-treatment of tannery industry effluents under combined application of citric acid and chromium-reducing bacterial strain through ,Heliyon,2024-Aug-30,11
