citing_pmid,cited_pmid
38535500,29252982
38095662,29252982
37793340,29252982
36657670,29252982
35457501,29252982
33752165,29252982
32947900,29252982
32126404,29252982
30635437,29252982
30460851,29252982
29844465,29252982
29370160,29252982
36858029,30835380
39050598,30322231
32983000,30322231
31225962,30322231
30893943,30322231
39253192,30990788
39058096,30990788
38222549,30990788
37674490,30990788
37464012,30990788
37299216,30990788
37229158,30990788
36351942,30990788
36339166,30990788
36307472,30990788
36092591,30990788
35712023,30990788
35211097,30990788
39040872,31799881
38803936,31799881
34936391,31799881
34539765,31799881
34140748,31799881
33642861,31799881
33460218,31799881
32903073,31799881
32660683,31799881
31944847,31799881
33072249,30501483
36231779,25626137
35954607,25626137
35597934,25626137
35449096,25626137
35010326,25626137
34542463,25626137
34198664,25626137
33692438,25626137
33453532,25626137
31993007,25626137
31502180,25626137
30360440,25626137
29426730,25626137
28796634,25626137
27346385,25626137
27054887,25626137
26861365,25626137
25793104,25626137
35963945,27759495
35736648,27759495
34121762,27759495
34070145,27759495
31835168,27759495
31349234,27759495
31128883,27759495
30067478,27759495
29776545,27759495
29595373,27759495
28696913,27759495
28379072,27759495
39449446,32267415
36674220,32267415
32961741,32267415
39487460,16533111
39377051,16533111
39146265,16533111
39117222,16533111
38948086,16533111
38830524,16533111
38668518,16533111
38455887,16533111
38442312,16533111
38388186,16533111
38349877,16533111
38156899,16533111
38019829,16533111
37966215,16533111
37791816,16533111
37783658,16533111
37581863,16533111
37273498,16533111
37246316,16533111
37205759,16533111
37187677,16533111
36774420,16533111
36635734,16533111
36633989,16533111
36623927,16533111
36448792,16533111
36430084,16533111
36429700,16533111
36293807,16533111
36279443,16533111
36196073,16533111
36011694,16533111
35971517,16533111
35798884,16533111
35742642,16533111
35682206,16533111
35682169,16533111
35674427,16533111
35651360,16533111
35577901,16533111
35457365,16533111
35344439,16533111
35270393,16533111
35153487,16533111
35053344,16533111
35046439,16533111
35038334,16533111
34993918,16533111
34908495,16533111
34784917,16533111
34668703,16533111
34648580,16533111
34560874,16533111
34501794,16533111
34501598,16533111
34303349,16533111
34158491,16533111
34124937,16533111
33809857,16533111
33713334,16533111
33430882,16533111
33046474,16533111
32984815,16533111
32895627,16533111
32655686,16533111
32264725,16533111
32238404,16533111
32159046,16533111
32159035,16533111
32154228,16533111
32113086,16533111
32075614,16533111
32053902,16533111
31877745,16533111
31817268,16533111
31752166,16533111
31708169,16533111
31692725,16533111
31671594,16533111
31574988,16533111
31540448,16533111
31480556,16533111
31374099,16533111
31341576,16533111
31271296,16533111
30989169,16533111
30844571,16533111
30766715,16533111
30623014,16533111
30373089,16533111
30220936,16533111
30208934,16533111
30197817,16533111
30030682,16533111
30024382,16533111
29957590,16533111
29757939,16533111
29659481,16533111
29582168,16533111
29466133,16533111
