pmid,title,journal,date,num_authors
26151221,Climate change-related migration and infectious disease.,Virulence,2015-1-1,1
30546101,Standing up to infectious disease.,Nature microbiology,2019-Jan-1,0
39205197,Editorial: Infectious Disease Epidemiology and Transmission Dynamics 2.0.,Viruses,2024-Jul-31,5
28286767,"Emerging and Neglected Infectious Diseases: Insights, Advances, and Challenges.",BioMed research international,2017-1-1,1
33573529,Protection against severe infectious disease in the past.,Pathogens and global health,2021-May-1,1
28584175,"One Health, emerging infectious diseases and wildlife: two decades of progress?","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",2017-Jul-19,3
28051192,Global Warming and Its Health Impact.,The international journal of occupational and environmental medicine,2017-Jan-1,1
26701858,Syrian refugees and infectious disease challenges.,Travel medicine and infectious disease,2015-1-1,2
21486983,Progress in infectious disease and immunology.,JAMA,2011-Apr-13,2
22914690,The interface of infectious disease and neuro-ophthalmology.,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,2012-Sep-1,1
39183836,Resistome in a changing environment: Hotspots and vectors of spreading with a focus on the Russian-Ukrainian War.,Heliyon,2024-Jun-30,5
39176259,"The association between climate variables and tuberculosis in Kolaka District, Southeast Sulawesi Province, Indonesia, 2013-2020: a Bayesian autoregressive model.",F1000Research,2023-1-1,4
39160314,Perspectives on sustainability among surgeons: findings from the SAGES-EAES sustainability in surgical practice task force survey.,Surgical endoscopy,2024-Oct-1,30
39027730,Biosensors for Public Health and Environmental Monitoring: The Case for Sustainable Biosensing.,ACS sustainable chemistry & engineering,2024-Jul-15,7
38660264,"Risk effects of meteorological factors on human brucellosis in Jilin province, China, 2005-2019.",Heliyon,2024-Apr-30,12
38374246,"Investigating the Associations between Drought, Poverty, High-Risk Sexual Behaviours, and HIV Incidence in Sub-Saharan Africa: A Cross-Sectional Study.",AIDS and behavior,2024-May-1,9
38057578,The impact of anthropogenic climate change on pediatric viral diseases.,Pediatric research,2024-Jan-1,6
37927876,Unplanned urbanization and health risks of Dhaka City in Bangladesh: uncovering the associations between urban environment and public health.,Frontiers in public health,2023-1-1,3
37368728,Bias-Corrected CMIP5 Projections for Climate Change and Assessments of Impact on Malaria in Senegal under the VECTRI Model.,Tropical medicine and infectious disease,2023-Jun-06,8
37034244,Turning up the heat: A conceptual model for understanding the migration and health in the context of global climate change.,Journal of migration and health,2023-1-1,4
36743159,The impact of climate change and biodiversity loss on the health of children: An ethical perspective.,Frontiers in public health,2022-1-1,5
36482957,The emergence of SARS-CoV-2 Omicron subvariants: current situation and future trends.,Le infezioni in medicina,2022-1-1,11
36469546,"A systematic review and global analysis of the seasonal activity of Phlebotomus (Paraphlebotomus) sergenti, the primary vectors of L. tropica.",PLoS neglected tropical diseases,2022-Dec-1,4
36438286,Development and application of survey-based artificial intelligence for clinical decision support in managing infectious diseases: A pilot study on a hospital in central Vietnam.,Frontiers in public health,2022-1-1,6
36273599,"Climate change and human health in the Eastern Mediterranean and Middle East: Literature review, research priorities and policy suggestions.",Environmental research,2023-Jan-01,17
35665713,"Drivers of melioidosis endemicity: epidemiological transition, zoonosis, and climate change.",Current opinion in infectious diseases,2022-Jun-01,3
35202694,Diversity regained: Precautionary approaches to COVID-19 as a phenomenon of the total environment.,The Science of the total environment,2022-Jun-15,15
35002262,Climate Change and Infections on the Move in North America.,Infection and drug resistance,2021-1-1,4
34900756,Antibiotic Resistance: One Health One World Outlook.,Frontiers in cellular and infection microbiology,2021-1-1,12
34809490,Associations of Ambient Air Pollutants and Meteorological Factors With COVID-19 Transmission in 31 Chinese Provinces: A Time Series Study.,"Inquiry : a journal of medical care organization, provision and financing",2021-1-1,6
34310626,Positioning zoonotic disease research in forced migration: A systematic literature review of theoretical frameworks and approaches.,PloS one,2021-1-1,2
33971021,"Climate change, human migration, and skin disease: is there a link?",International journal of dermatology,2022-Feb-1,6
33278353,The 2020 report of The Lancet Countdown on health and climate change: responding to converging crises.,"Lancet (London, England)",2021-Jan-09,87
32365515,Could Environment Affect the Mutation of H1N1 Influenza Virus?,International journal of environmental research and public health,2020-Apr-29,8
31721060,Refugees at the Crossroads of Continents: A Molecular Approach for Cutaneous Leishmaniasis Among Refugees in Turkey.,Acta parasitologica,2020-Mar-1,7
31372321,Epidemiological analysis of respiratory and intestinal infectious diseases in three counties of Sichuan: the baseline survey of Disaster Mitigation Demonstration Area in western China.,PeerJ,2019-1-1,19
31285702,Risk assessment strategies for early detection and prediction of infectious disease outbreaks associated with climate change.,Canada communicable disease report = Releve des maladies transmissibles au Canada,2019-May-02,9
30976790,"Climate change impact on migration, travel, travel destinations and the tourism industry.",Journal of travel medicine,2019-Jun-11,2
29996835,Mapping the stability of malaria hotspots in Bangladesh from 2013 to 2016.,Malaria journal,2018-Jul-11,6
29684649,China's capacity of hospitals to deal with infectious diseases in the context of climate change.,Social science & medicine (1982),2018-Jun-1,11
29188170,The Role of Climate in the Epidemiology of Melioidosis.,Current tropical medicine reports,2017-1-1,2
26151394,Our changing world: impacts on health and infectious diseases.,Virulence,2015-1-1,1
39310785,Diagnostic performance of metagenomic sequencing in patients with suspected infection: a large-scale retrospective study.,Frontiers in cellular and infection microbiology,2024-1-1,12
39080246,Impact of the COVID-19 Pandemic on the Incidence of Notifiable Infectious Diseases in China Based on SARIMA Models Between 2013 and 2021.,Journal of epidemiology and global health,2024-Sep-1,6
39065101,The Cellular Microbiome of Visceral Organs: An Inherent Inhabitant of Parenchymal Cells.,Microorganisms,2024-Jun-29,8
38066783,,"Diagnostics (Basel, Switzerland)",2023-Nov-27,5
37587173,Prioritizing non-communicable diseases in the post-pandemic era based on a comprehensive analysis of the GBD 2019 from 1990 to 2019.,Scientific reports,2023-Aug-16,2
37333682,"Infection Prevalence at a Tertiary Hospital in Hail, Saudi Arabia: A Single-Center Study to Identify Strategies to Improve Antibiotic Usage.",Infection and drug resistance,2023-1-1,13
37023458,"The Adjuvant Combination of dmLT and Monophosphoryl Lipid A Activates the Canonical, Nonpyroptotic NLRP3 Inflammasome in Dendritic Cells and Significantly Interacts to Expand Antigen-Specific CD4 T Cells.","Journal of immunology (Baltimore, Md. : 1950)",2023-May-15,10
36804008,Advanced delivery systems for peptide antibiotics.,Advanced drug delivery reviews,2023-May-1,4
36297152,A Promising Tool in Serological Diagnosis: Current Research Progress of Antigenic Epitopes in Infectious Diseases.,"Pathogens (Basel, Switzerland)",2022-Sep-25,5
