id,name,article_count
celiamcmichael,Celia McMichael,1
yuanbai,Yuan Bai,1
zeynepertem,Zeynep Ertem,1
joseluisherreradiestra,Jose Luis Herrera Diestra,1
linwang,Lin Wang,1
zhanweidu,Zhanwei Du,1
nicholasisraelnii-trebi,Nicholas Israel Nii-Trebi,1
alexandermercer,Alexander Mercer,1
andrewacunningham,Andrew A Cunningham,1
peterdaszak,Peter Daszak,1
jameslnwood,James L N Wood,1
antonellarossati,Antonella Rossati,1
hakanleblebicioglu,Hakan Leblebicioglu,1
resatozaras,Resat Ozaras,1
giannazuccotti,Gianna Zuccotti,1
philbfontanarosa,Phil B Fontanarosa,1
josephrberger,Joseph R Berger,1
lsymochko,L Symochko,1
ppereira,P Pereira,1
odemyanyuk,O Demyanyuk,1
mncoelhopinheiro,M N Coelho Pinheiro,1
dbarcelo,D Barcelo,1
ramadhantosepu,Ramadhan Tosepu,1
asrulsani,Asrul Sani,1
devisavitrieffendy,Devi Savitri Effendy,1
laodealiimranahmad,La Ode Ali Imran Ahmad,1
tejasssathe,Tejas S Sathe,1
adnanalseidi,Adnan Alseidi,1
vittoriabellato,Vittoria Bellato,1
amirashrafganjouei,Amir Ashraf Ganjouei,1
lalehforoutani,Laleh Foroutani,1
ryanphall,Ryan P Hall,1
oleksiipotapov,Oleksii Potapov,1
ricardojbello,Ricardo J Bello,1
shaneetamjohnson,Shaneeta M Johnson,1
stefaniamarconi,Stefania Marconi,1
naderfrancis,Nader Francis,1
paulbarach,Paul Barach,1
manuelsanchez-casalongue,Manuel Sanchez-Casalongue,1
sheetalnijhawan,Sheetal Nijhawan,1
wendelynmoslock,Wendelyn M Oslock,1
benjaminmiller,Benjamin Miller,1
sarahsamreen,Sarah Samreen,1
jimmychung,Jimmy Chung,1
nanamarfo,Nana Marfo,1
brighthuo,Bright Huo,1
robertblim,Robert B Lim,1
jonathanvandeberg,Jonathan Vandeberg,1
yewanderalimi,Yewande R Alimi,1
andreapietrabissa,Andrea Pietrabissa,1
albertoarezzo,Alberto Arezzo,1
maximosfrountzas,Maximos Frountzas,1
miranrems,Miran Rems,1
mmmeussen,M M M Eussen,1
ndbouvy,N D Bouvy,1
patriciasylla,Patricia Sylla,1
ajokewilliams,Ajoke Williams,1
mauricioraguilar,Mauricio R Aguilar,1
keshaniggpattiyaarachchillage,Keshani G G Pattiya Arachchillage,1
subratachandra,Subrata Chandra,1
srijithrangan,Srijith Rangan,1
sonakshighosalgupta,Sonakshi Ghosal Gupta,1
juanmartesvivancos,Juan M Artes Vivancos,1
shanjunhuang,Shanjun Huang,1
haowang,Hao Wang,1
zhuoli,Zhuo Li,1
zhaohanwang,Zhaohan Wang,1
tianma,Tian Ma,1
ruifangsong,Ruifang Song,1
menghanlu,Menghan Lu,1
xinhan,Xin Han,1
yitingzhang,Yiting Zhang,1
yingtongwang,Yingtong Wang,1
qingzhen,Qing Zhen,1
tiejunshui,Tiejun Shui,1
adamtrickey,Adam Trickey,1
leighfjohnson,Leigh F Johnson,1
rogeriobonifacio,Rogerio Bonifacio,1
agneskiragga,Agnes Kiragga,1
guyhoward,Guy Howard,1
samuelbiraro,Samuel Biraro,1
thorstenwagener,Thorsten Wagener,1
andrealow,Andrea Low,1
petervickerman,Peter Vickerman,1
smitdchitre,Smit D Chitre,1
ceciliamcrews,Cecilia M Crews,1
mesfinteklutessema,Mesfin Teklu Tessema,1
indrėplėštytė-būtienė,Indrė Plėštytė-Būtienė,1
megancoffee,Megan Coffee,1
eugenetrichardson,Eugene T Richardson,1
mohammadanisurrahaman,Mohammad Anisur Rahaman,1
abulkalam,Abul Kalam,1
mdal-mamun,Md Al-Mamun,1
papafall,Papa Fall,1
ibrahimadiouf,Ibrahima Diouf,1
abdoulayedeme,Abdoulaye Deme,1
semoudiouf,Semou Diouf,1
doudousene,Doudou Sene,1
benjaminsultan,Benjamin Sultan,1
adjouamoïsefamien,Adjoua Moïse Famien,1
sergejanicot,Serge Janicot,1
aqsakhalid,Aqsa Khalid,1
jabranalibabry,Jabran Ali Babry,1
jovearey,Jo Vearey,1
dominikzenner,Dominik Zenner,1
