citing_pmid,cited_pmid
39183836,26151221
39176259,26151221
39160314,26151221
39027730,26151221
38660264,26151221
38374246,26151221
38057578,26151221
37927876,26151221
37368728,26151221
37034244,26151221
36743159,26151221
36482957,26151221
36469546,26151221
36438286,26151221
36273599,26151221
35665713,26151221
35202694,26151221
35002262,26151221
34900756,26151221
34809490,26151221
34310626,26151221
33971021,26151221
33278353,26151221
32365515,26151221
31721060,26151221
31372321,26151221
31285702,26151221
30976790,26151221
29996835,26151221
29684649,26151221
29188170,26151221
26151394,26151221
39310785,30546101
39080246,30546101
39065101,30546101
38066783,30546101
37587173,30546101
37333682,30546101
37023458,30546101
36804008,30546101
36297152,30546101
36259226,30546101
39505865,28286767
39474787,28286767
39347451,28286767
39323695,28286767
39024374,28286767
38927236,28286767
38813407,28286767
38727479,28286767
38687074,28286767
38665066,28286767
38624924,28286767
38399306,28286767
38322011,28286767
38305396,28286767
38257983,28286767
38138047,28286767
38094744,28286767
38075419,28286767
38020360,28286767
38018182,28286767
37425908,28286767
37358746,28286767
37322837,28286767
37243096,28286767
37092080,28286767
36855192,28286767
36851491,28286767
36781138,28286767
36741771,28286767
36721260,28286767
36601307,28286767
36457138,28286767
36364438,28286767
36364304,28286767
36355513,28286767
36267658,28286767
36212862,28286767
36146463,28286767
36145489,28286767
36071846,28286767
35964031,28286767
35765496,28286767
35740884,28286767
35715790,28286767
35712712,28286767
35655307,28286767
35625249,28286767
35613224,28286767
35515773,28286767
35371281,28286767
35326965,28286767
35077448,28286767
34994079,28286767
34876066,28286767
34851685,28286767
34748109,28286767
34676194,28286767
34606554,28286767
34467060,28286767
34372523,28286767
34277532,28286767
34177835,28286767
34140892,28286767
34037157,28286767
33925063,28286767
33754134,28286767
33578728,28286767
33521411,28286767
33513773,28286767
33488726,28286767
33482912,28286767
33427124,28286767
33413448,28286767
33293809,28286767
33287260,28286767
33123578,28286767
33061710,28286767
33013898,28286767
33001985,28286767
32934915,28286767
32883028,28286767
32871219,28286767
32687861,28286767
32486913,28286767
32376587,28286767
32375787,28286767
32340255,28286767
32258177,28286767
32185208,28286767
32161726,28286767
32121402,28286767
32048531,28286767
32006706,28286767
31835647,28286767
31817548,28286767
31633330,28286767
31384707,28286767
31362744,28286767
31258326,28286767
30974891,28286767
39065101,33573529
38979594,33573529
38737278,33573529
38414458,33573529
38393532,33573529
38370051,33573529
37515023,33573529
37026505,33573529
36247251,33573529
36091847,33573529
34976746,33573529
39534689,28584175
39469585,28584175
39453104,28584175
39440173,28584175
39436883,28584175
39227786,28584175
39205217,28584175
39194143,28584175
39145855,28584175
39091975,28584175
39077041,28584175
39076609,28584175
39003250,28584175
38921810,28584175
38913060,28584175
38827296,28584175
38784405,28584175
38771857,28584175
38756515,28584175
38712705,28584175
38603022,28584175
38549568,28584175
38473065,28584175
38440750,28584175
38418485,28584175
38412171,28584175
38388645,28584175
38370402,28584175
38179311,28584175
37710323,28584175
37577134,28584175
37542305,28584175
37520848,28584175
37511909,28584175
37492149,28584175
37463439,28584175
37452274,28584175
37404948,28584175
37363246,28584175
37274486,28584175
37174478,28584175
36992368,28584175
36986342,28584175
36870874,28584175
36864002,28584175
36823033,28584175
36643215,28584175
36568713,28584175
36567346,28584175
36560762,28584175
36415330,28584175
36363758,28584175
36289939,28584175
36247198,28584175
36176697,28584175
36124110,28584175
36090172,28584175
35991331,28584175
35978635,28584175
35892547,28584175
35889247,28584175
35855439,28584175
35804182,28584175
35737674,28584175
35658858,28584175
35640912,28584175
35632689,28584175
35555938,28584175
35458537,28584175
35453225,28584175
35415433,28584175
35369485,28584175
35232629,28584175
35211097,28584175
35203188,28584175
35202488,28584175
35140881,28584175
35046462,28584175
35036095,28584175
34944317,28584175
34909607,28584175
34847928,28584175
34774124,28584175
34573509,28584175
34573485,28584175
34544548,28584175
34543611,28584175
34542794,28584175
34475642,28584175
34451504,28584175
34451469,28584175
34447356,28584175
34421183,28584175
34390537,28584175
34379870,28584175
34272669,28584175
34241724,28584175
34207364,28584175
34187239,28584175
34172822,28584175
39493443,28051192
39391220,28051192
39377000,28051192
39298533,28051192
39259416,28051192
39258208,28051192
39096351,28051192
39006158,28051192
38947183,28051192
38929934,28051192
38917093,28051192
38806257,28051192
38632636,28051192
38592816,28051192
38456075,28051192
38371354,28051192
38028158,28051192
37896754,28051192
37830371,28051192
37829676,28051192
37741554,28051192
37539200,28051192
37524329,28051192
37487568,28051192
37484126,28051192
37375492,28051192
37187603,28051192
37084122,28051192
37083565,28051192
36901039,28051192
36792874,28051192
36777310,28051192
36742229,28051192
36585519,28051192
36511453,28051192
36380330,28051192
36136572,28051192
36061977,28051192
35936544,28051192
35668486,28051192
35563676,28051192
35558118,28051192
35457530,28051192
35413138,28051192
35211097,28051192
35140130,28051192
34966230,28051192
34959493,28051192
34938932,28051192
34832594,28051192
34069459,28051192
34067373,28051192
33921381,28051192
33810028,28051192
33632812,28051192
33578223,28051192
33352933,28051192
33124540,28051192
33114437,28051192
33110519,28051192
33097356,28051192
32399720,28051192
32080154,28051192
31997247,28051192
31820033,28051192
31374032,28051192
31363452,28051192
31100792,28051192
30916639,28051192
29736195,28051192
28432370,28051192
28051191,28051192
29971699,26701858
29879516,26701858
27259712,26701858
33439934,21486983
